datetime,epic,offer,bid
6/6/2022 1:00,CC.D.CL.UMA.IP,11826.2,11823.4
6/6/2022 5:00,CC.D.CL.UMA.IP,11801.7,11798.9
6/6/2022 9:00,CC.D.CL.UMA.IP,11757.9,11755.1
6/6/2022 13:00,CC.D.CL.UMA.IP,11708.8,11706
6/6/2022 17:00,CC.D.CL.UMA.IP,11688,11685.2
6/6/2022 21:00,CC.D.CL.UMA.IP,11782.4,11778.4
6/7/2022 1:00,CC.D.CL.UMA.IP,11712.2,11709.4
6/7/2022 5:00,CC.D.CL.UMA.IP,11769.1,11766.3
6/7/2022 9:00,CC.D.CL.UMA.IP,11699.4,11696.6
6/7/2022 13:00,CC.D.CL.UMA.IP,11697.6,11694.8
6/7/2022 17:00,CC.D.CL.UMA.IP,11782.1,11779.3
6/7/2022 21:00,CC.D.CL.UMA.IP,11821.7,11813.7
6/8/2022 1:00,CC.D.CL.UMA.IP,11813.3,11810.5
6/8/2022 5:00,CC.D.CL.UMA.IP,11832.9,11830.1
6/8/2022 9:00,CC.D.CL.UMA.IP,11870.4,11867.6
6/8/2022 13:00,CC.D.CL.UMA.IP,11910.4,11907.6
6/8/2022 17:00,CC.D.CL.UMA.IP,12037.4,12034.6
6/6/2022 1:00,CC.D.LCO.UMA.IP,12015,12011
6/6/2022 5:00,CC.D.LCO.UMA.IP,11984.2,11981.4
6/6/2022 9:00,CC.D.LCO.UMA.IP,11937.5,11934.7
6/6/2022 13:00,CC.D.LCO.UMA.IP,11891.7,11888.9
6/6/2022 17:00,CC.D.LCO.UMA.IP,11870.2,11867.4
6/6/2022 21:00,CC.D.LCO.UMA.IP,11965.2,11962.4
6/7/2022 1:00,CC.D.LCO.UMA.IP,11901.6,11898.8
6/7/2022 5:00,CC.D.LCO.UMA.IP,11953.8,11951
6/7/2022 9:00,CC.D.LCO.UMA.IP,11877.4,11874.6
6/7/2022 13:00,CC.D.LCO.UMA.IP,11881.9,11879.1
6/7/2022 17:00,CC.D.LCO.UMA.IP,11987.3,11984.5
6/7/2022 21:00,CC.D.LCO.UMA.IP,12009.1,12005.1
6/8/2022 1:00,CC.D.LCO.UMA.IP,12009.9,12005.9
6/8/2022 5:00,CC.D.LCO.UMA.IP,12021.4,12018.6
6/8/2022 9:00,CC.D.LCO.UMA.IP,12052.9,12050.1
6/8/2022 13:00,CC.D.LCO.UMA.IP,12110,12107.2
6/8/2022 17:00,CC.D.LCO.UMA.IP,12251.9,12249.1
6/13/2022 1:00,CC.D.CL.UMA.IP,11634.9,11632.1
6/13/2022 5:00,CC.D.CL.UMA.IP,11646.9,11644.1
6/13/2022 9:00,CC.D.CL.UMA.IP,11617.7,11614.9
6/13/2022 13:00,CC.D.CL.UMA.IP,11666.4,11663.6
6/13/2022 17:00,CC.D.CL.UMA.IP,11937.5,11934.7
6/13/2022 21:00,CC.D.CL.UMA.IP,11863.4,11859.4
6/14/2022 1:00,CC.D.CL.UMA.IP,11836.7,11832.7
6/13/2022 1:00,CC.D.LCO.UMA.IP,11856.3,11852.3
6/13/2022 5:00,CC.D.LCO.UMA.IP,11866.9,11864.1
6/13/2022 9:00,CC.D.LCO.UMA.IP,11840.1,11837.3
6/13/2022 13:00,CC.D.LCO.UMA.IP,11893.9,11891.1
6/13/2022 17:00,CC.D.LCO.UMA.IP,12155.6,12152.8
6/13/2022 21:00,CC.D.LCO.UMA.IP,12072.6,12064.6
6/14/2022 1:00,CC.D.LCO.UMA.IP,12074.9,12066.9
6/20/2022 1:00,CC.D.CL.UMA.IP,10846.3,10843.5
6/20/2022 5:00,CC.D.CL.UMA.IP,10768.7,10765.9
6/20/2022 9:00,CC.D.CL.UMA.IP,10736.3,10732.3
6/20/2022 13:00,CC.D.CL.UMA.IP,10789,10786.2
6/20/2022 17:00,CC.D.CL.UMA.IP,10863.3,10859.3
6/20/2022 21:00,CC.D.CL.UMA.IP,10866.2,10858.2
6/21/2022 1:00,CC.D.CL.UMA.IP,10960.4,10957.6
6/21/2022 5:00,CC.D.CL.UMA.IP,11010.1,11007.3
6/21/2022 9:00,CC.D.CL.UMA.IP,11003.6,11000.8
6/21/2022 13:00,CC.D.CL.UMA.IP,10979.3,10976.5
6/21/2022 17:00,CC.D.CL.UMA.IP,10917,10914.2
6/21/2022 21:00,CC.D.CL.UMA.IP,10933,10930.2
6/22/2022 1:00,CC.D.CL.UMA.IP,10770.4,10767.6
