datetime,epic,offer,bid
6/6/2022 1:00,IX.D.SPTRD.IFA.IP,4116.36,4115.76
6/6/2022 5:00,IX.D.SPTRD.IFA.IP,4131.36,4130.76
6/6/2022 9:00,IX.D.SPTRD.IFA.IP,4156.61,4156.01
6/6/2022 13:00,IX.D.SPTRD.IFA.IP,4154.11,4153.51
6/6/2022 17:00,IX.D.SPTRD.IFA.IP,4127.47,4127.07
6/6/2022 21:00,IX.D.SPTRD.IFA.IP,4122.5,4121
6/7/2022 1:00,IX.D.SPTRD.IFA.IP,4110.54,4109.94
6/7/2022 5:00,IX.D.SPTRD.IFA.IP,4099.66,4099.06
6/7/2022 9:00,IX.D.SPTRD.IFA.IP,4108.54,4107.94
6/7/2022 13:00,IX.D.SPTRD.IFA.IP,4080.79,4080.19
6/7/2022 17:00,IX.D.SPTRD.IFA.IP,4127.85,4127.45
6/7/2022 21:00,IX.D.SPTRD.IFA.IP,4151.77,4150.27
6/8/2022 1:00,IX.D.SPTRD.IFA.IP,4154.41,4153.81
6/8/2022 5:00,IX.D.SPTRD.IFA.IP,4140.66,4140.06
6/8/2022 9:00,IX.D.SPTRD.IFA.IP,4145.41,4144.81
6/8/2022 13:00,IX.D.SPTRD.IFA.IP,4140.16,4139.56
6/8/2022 17:00,IX.D.SPTRD.IFA.IP,4130.22,4129.82
6/8/2022 21:00,IX.D.SPTRD.IFA.IP,4118.05,4116.55
6/9/2022 1:00,IX.D.SPTRD.IFA.IP,4110.49,4109.89
6/9/2022 5:00,IX.D.SPTRD.IFA.IP,4112.74,4112.14
6/9/2022 9:00,IX.D.SPTRD.IFA.IP,4131.99,4131.39
6/9/2022 13:00,IX.D.SPTRD.IFA.IP,4102.24,4101.64
6/9/2022 17:00,IX.D.SPTRD.IFA.IP,4105.39,4104.99
6/9/2022 21:00,IX.D.SPTRD.IFA.IP,4025.19,4023.69
6/10/2022 1:00,IX.D.SPTRD.IFA.IP,4018.27,4017.67
6/10/2022 5:00,IX.D.SPTRD.IFA.IP,4019.27,4018.67
6/10/2022 9:00,IX.D.SPTRD.IFA.IP,4015.27,4014.67
6/10/2022 13:00,IX.D.SPTRD.IFA.IP,3949.64,3949.04
6/10/2022 17:00,IX.D.SPTRD.IFA.IP,3907.61,3907.21
6/10/2022 21:00,IX.D.SPTRD.IFA.IP,3908.65,3907.15
6/11/2022 1:00,IX.D.SPTRD.IFA.IP,3908.73,3907.23
6/6/2022 1:00,IX.D.DOW.IFA.IP,32962.9,32958.1
6/6/2022 5:00,IX.D.DOW.IFA.IP,33041.4,33036.6
6/6/2022 9:00,IX.D.DOW.IFA.IP,33192.3,33188.7
